Brand,Description,link,pricewas,pricenow
APPLE,AIRPODS WITH WIRELESS CASE MRXJ2ZA/A,https://www.davidjones.com/brand/apple/22662274/AIRPODS-WITH-WIRELESS-CASE-MRXJ2ZA%7CA.html,$319.00,$319.00
APPLE,WATCH S5 GPS 44MM GOLD ALUMINIUM PINK SAND SPORT BAND,https://www.davidjones.com/brand/apple/23016528/Watch-S5-GPS-44mm-Gold-Aluminium-Pink-Sand-Sport-Band.html,$699.00,$699.00
APPLE,AIRPODS WITH STANDARD CHARGING CASE MV7N2ZA/A,https://www.davidjones.com/brand/apple/22662275/AIRPODS-WITH-STANDARD-CHARGING-CASE-MV7N2ZA%7CA.html,$249.00,$249.00
APPLE,IPHONE 11 PRO MAX 256GB - MIDNIGHT GREEN - MWHM2X/A,https://www.davidjones.com/brand/apple/23016148/iPhone-11-Pro-Max-256GB---Midnight-Green---MWHM2X%7CA.html,"$2,149.00","$2,149.00"
APPLE,IPHONE 11 PRO MAX 64GB - MIDNIGHT GREEN - MWHH2X/A,https://www.davidjones.com/brand/apple/23016144/iPhone-11-Pro-Max-64GB---Midnight-Green---MWHH2X%7CA.html,"$1,899.00","$1,899.00"
APPLE,IPHONE 11 PRO 64GB - MIDNIGHT GREEN - MWC62X/A,https://www.davidjones.com/brand/apple/23016132/iPhone-11-Pro-64GB---Midnight-Green---MWC62X%7CA.html,"$1,749.00","$1,749.00"
APPLE,IPHONE 11 PRO 64GB - SPACE GREY - MWC22X/A,https://www.davidjones.com/brand/apple/23016129/iPhone-11-Pro-64GB---Space-Grey---MWC22X%7CA.html,"$1,749.00","$1,749.00"
APPLE,IPHONE 11 PRO 512GB - SPACE GREY - MWCD2X/A,https://www.davidjones.com/brand/apple/23016137/iPhone-11-Pro-512GB---Space-Grey---MWCD2X%7CA.html,"$2,349.00","$2,349.00"
APPLE,IPHONE 11 PRO MAX 64GB - SPACE GREY - MWHD2X/A,https://www.davidjones.com/brand/apple/23016141/iPhone-11-Pro-Max-64GB---Space-Grey---MWHD2X%7CA.html,"$1,899.00","$1,899.00"
APPLE,IPHONE 11 PRO MAX 64GB - GOLD - MWHG2X/A,https://www.davidjones.com/brand/apple/23016143/iPhone-11-Pro-Max-64GB---Gold---MWHG2X%7CA.html,"$1,899.00","$1,899.00"
APPLE,IPHONE 11 PRO 64GB - SILVER - MWC32X/A,https://www.davidjones.com/brand/apple/23016130/iPhone-11-Pro-64GB---Silver---MWC32X%7CA.html,"$1,749.00","$1,749.00"
APPLE,IPHONE 11 PRO 256GB - MIDNIGHT GREEN - MWCC2X/A,https://www.davidjones.com/brand/apple/23016136/iPhone-11-Pro-256GB---Midnight-Green---MWCC2X%7CA.html,"$1,999.00","$1,999.00"
APPLE,IPHONE 11 128GB - RED - MWM32X/A,https://www.davidjones.com/brand/apple/23016119/iPhone-11-128GB---Red---MWM32X%7CA.html,"$1,279.00","$1,279.00"
APPLE,IPHONE 11 256GB - BLACK - MWM72X/A,https://www.davidjones.com/brand/apple/23016123/iPhone-11-256GB---Black---MWM72X%7CA.html,"$1,449.00","$1,449.00"
APPLE,IPHONE 11 64GB - WHITE - MWLU2X/A,https://www.davidjones.com/brand/apple/23016112/iPhone-11-64GB---White---MWLU2X%7CA.html,"$1,199.00","$1,199.00"
APPLE,IPHONE 11 64GB - RED - MWLV2X/A,https://www.davidjones.com/brand/apple/23016113/iPhone-11-64GB---Red---MWLV2X%7CA.html,"$1,199.00","$1,199.00"
APPLE,IPHONE 11 64GB - YELLOW - MWLW2X/A,https://www.davidjones.com/brand/apple/23016114/iPhone-11-64GB---Yellow---MWLW2X%7CA.html,"$1,199.00","$1,199.00"
APPLE,IPHONE 11 64GB - BLACK - MWLT2X/A,https://www.davidjones.com/brand/apple/23016111/iPhone-11-64GB---Black---MWLT2X%7CA.html,"$1,199.00","$1,199.00"
